id,name,position,height_2024,inches_2024,old_height,old_inches,new_height,new_inches,change_24_25,change_25_26,total_change,br_id
666310,Bo Naylor,C,"6' 0""",72,"6'0""",72,"5'9""",69,0,-3,-3,naylobo01
547179,Michael Lorenzen,P,"6' 3""",75,"6'3""",75,"6'1""",73,0,-2,-2,lorenmi01
682668,Luisangel Acuña,2B,"5' 8""",68,"5'8""",68,"5'7""",67,0,-1,-1,redirect.fcgi?player=1&amp;mlb_ID=682668
677942,Blaze Alexander,SS,"5' 11""",71,"6'0""",72,"5'11""",71,1,-1,0,alexabl01
669397,Nick Allen,SS,"5' 8""",68,"5'8""",68,"5'7""",67,0,-1,-1,allenni02
680718,Addison Barger,3B,"6' 0""",72,"6'0""",72,"5'11""",71,0,-1,-1,bargead01
663698,Joey Bart,C,"6' 2""",74,"6'3""",75,"6'2""",74,1,-1,0,bartjo01
643217,Andrew Benintendi,LF,"5' 9""",69,"5'10""",70,"5'9""",69,1,-1,0,beninan01
605141,Mookie Betts,SS,"5' 9""",69,"5'10""",70,"5'9""",69,1,-1,0,bettsmo01
664761,Alec Bohm,3B,"6' 5""",77,"6'5""",77,"6'4""",76,0,-1,-1,bohmal01
608324,Alex Bregman,3B,"6' 0""",72,"5'11""",71,"5'10""",70,-1,-1,-2,bregmal01
683737,Michael Busch,1B,"6' 1""",73,"6'0""",72,"5'11""",71,-1,-1,-2,buschmi02
676130,José Buttó,P,"6' 1""",73,"6'1""",73,"6'0""",72,0,-1,-1,buttojo01
621439,Byron Buxton,CF,"6' 2""",74,"6'2""",74,"6'1""",73,0,-1,-1,buxtoby01
676609,José Caballero,SS,"5' 9""",69,"5'10""",70,"5'9""",69,1,-1,0,cabaljo01
666185,Dylan Carlson,LF,"6' 2""",74,"6'2""",74,"6'1""",73,0,-1,-1,carlsdy01
694497,Evan Carter,CF,"6' 2""",74,"6'3""",75,"6'2""",74,1,-1,0,carteev01
664199,Taylor Clarke,P,"6' 4""",76,"6'4""",76,"6'3""",75,0,-1,-1,clarkta01
575929,Willson Contreras,1B,"6' 1""",73,"6'1""",73,"6'0""",72,0,-1,-1,contrwi01
630105,Jake Cronenworth,2B,"6' 0""",72,"6'0""",72,"5'11""",71,0,-1,-1,croneja01
680779,Henry Davis,C,"6' 0""",72,"6'0""",72,"5'11""",71,0,-1,-1,davishe01
676356,Jonny DeLuca,CF,"6' 0""",72,"5'11""",71,"5'10""",70,-1,-1,-2,delucjo01
650490,Yandy Díaz,1B,"6' 2""",74,"6'1""",73,"6'0""",72,-1,-1,-2,diazya01
643289,Mauricio Dubón,2B,"6' 0""",72,"6'0""",72,"5'11""",71,0,-1,-1,dubonma01
